hash,mode,max_iters,wlhash,stabilized_at,cpu_time_s,max_mem_kib,local,isohash,family,result,track,clauses,variables,bytes,cls1,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,cls10p,horn,invhorn,positive,negative
f42db9c2209d1cb8e18b972f38135a94,nomode,9,09781697da1d559f,NA,1.6819,78132,/nfs/share/instances/gbd/cnf/f42db9c2209d1cb8e18b972f38135a94-52-136577.cnf.xz,db7dbc1eaa3574c8c65ffdd2f678d0d2,station-repacking,unknown,None,910969,33373,14084202,3,909415,1,1,4,3,0,9,4,1529,909418,1554,1554,909415
7634acbc6f1d87986418eb61dd1e815d,nomode,9,5b064eb80e7922e0,NA,3.68028,120456,/nfs/share/instances/gbd/cnf/7634acbc6f1d87986418eb61dd1e815d-SAT_dat.k95.cnf.xz,88cbb4c4b5a1ea33787f513a5e3d63c3,hardware-verification,unknown,application_2012,1359578,333676,27290668,5688,1044838,168700,46407,39631,21931,8992,8912,3413,11066,1083809,1023571,67605,164595
00072cf107ae1349c8c59a15c5ce4af1,nomode,9,9e474be4ccea4f7c,NA,0.027918,3072,/nfs/share/instances/gbd/cnf/00072cf107ae1349c8c59a15c5ce4af1-unif-c1275-v300-s428434218.cnf.xz,1ef05341ba4017bd107a9b2aa6bb2841,uniform-random,unknown,random_2002,1275,300,18322,0,0,1275,0,0,0,0,0,0,0,624,651,176,156
d5b98e43c1097769caf77272a912ece8,nomode,9,fc0316af7a999cab,NA,0.055736,7680,/nfs/share/instances/gbd/cnf/d5b98e43c1097769caf77272a912ece8-bench_16747.smt2.cnf.xz,4981478da5ae727a70bc3814cfe5d006,agile,unsat,agile_2016,16732,4833,258424,37,6850,9150,685,0,0,0,10,0,0,8675,10926,4838,1810
d7186f39e10efde2900813e003acbd9f,nomode,9,95016673f62e1f21,NA,0.399067,19300,/nfs/share/instances/gbd/cnf/d7186f39e10efde2900813e003acbd9f-SAT_instance_N=72.cnf.xz,15da904d06dfeb33548db0986bfa0788,auto-correlation,unknown,anni_2022,137418,41184,2471038,629,51632,85157,0,0,0,0,0,0,0,87120,101897,738,15517
d4caac3b939c1c9899adcc773b484e5a,nomode,9,b75195b578e40f76,NA,0.537451,29964,/nfs/share/instances/gbd/cnf/d4caac3b939c1c9899adcc773b484e5a-46-71492.cnf.xz,cbecfc8fcdd93aa6d813f848ef478b3d,station-repacking,unknown,None,291715,17393,4403276,3,290910,1,1,2,1,0,5,1,791,290913,805,805,290910
5b98b72da70cf24eb92b02a00797e052,nomode,9,a0b57cff3b0b7cde,NA,0.850184,44036,/nfs/share/instances/gbd/cnf/5b98b72da70cf24eb92b02a00797e052-58-100991.cnf.xz,12ba1bcffa27633f06f01e05c85877f2,station-repacking,unknown,None,460387,23118,7025142,3,459318,1,1,3,1,0,7,1,1052,459321,1069,1069,459318
125c867bab5d2e545e52ae7d62637c45,nomode,9,3d149d051a8a51a2,NA,13.6271,398304,/nfs/share/instances/gbd/cnf/125c867bab5d2e545e52ae7d62637c45-bench_6814.smt2.cnf.xz,b79afea209782ccb618b796da90f2875,agile,unsat,agile_2017,4592888,1269432,104803405,1571,1164299,3352737,74198,0,1,1,57,0,24,2029502,3221530,682478,679686
efe7b285f4605a8d24de73590f358150,nomode,9,2ec636e67a9a4148,NA,0.023828,6144,/nfs/share/instances/gbd/cnf/efe7b285f4605a8d24de73590f358150-Steiner-81-21-bce.cnf.xz,5d7c0abd79d414ad5f52782916ecbf21,cover,unknown,anni_2022,3582,5022,48439,1,1241,2340,0,0,0,0,0,0,0,2502,2301,1081,21
3809059b555bf4681fcfd777c341538d,nomode,9,5da88a0b732e5ef5,NA,13.5782,400804,/nfs/share/instances/gbd/cnf/3809059b555bf4681fcfd777c341538d-bench_7479.smt2.cnf.xz,ac0b3c691b1ee6a5b4185e334b672351,agile,unsat,agile_2017,4615940,1275818,105375388,1572,1171385,3368023,74877,1,0,1,57,0,24,2040573,3236229,688106,682722
