ID	max_iters	mode	hash	cpu_time_s	max_mem_kib
000a41cdca43be89ed62ea3abf2d0b64	1	raw	96bd7c3e17c4c477	4.34624	187644
000a41cdca43be89ed62ea3abf2d0b64	2	canon	8281509b2a91c8d8	13.7886	218700
000a41cdca43be89ed62ea3abf2d0b64	2	raw	06c094312f3345a5	6.83588	215296
000a41cdca43be89ed62ea3abf2d0b64	4	canon	e279c9195dad9f7b	27.43	226140
000a41cdca43be89ed62ea3abf2d0b64	4	raw	75e500b212c6d17b	12.8123	217784
000a41cdca43be89ed62ea3abf2d0b64	6	canon	351e71430e0dfdf4	38.1357	229616
000a41cdca43be89ed62ea3abf2d0b64	6	raw	aabef4ec852b6321	19.1071	227344
000a41cdca43be89ed62ea3abf2d0b64	8	canon	a13e76bc908a84e7	49.8059	230388
000a41cdca43be89ed62ea3abf2d0b64	8	raw	ebe40d2d0bf4dfae	25.8741	229528
000e4e0db67e27083649c20a2a3f761b	0	canon	58dd533214fe96d1	21.4157	493956
000e4e0db67e27083649c20a2a3f761b	0	raw	58dd533214fe96d1	21.7535	495424
000e4e0db67e27083649c20a2a3f761b	10	canon	69c03ae68e60c09d	200.035	1416752
000e4e0db67e27083649c20a2a3f761b	10	raw	94844a435ed1faea	131.155	1402904
000e4e0db67e27083649c20a2a3f761b	1	canon	6dfd8ffb690bb721	68.3029	1095048
000e4e0db67e27083649c20a2a3f761b	1	raw	1eada1552f1f28b5	39.4894	1079344
000e4e0db67e27083649c20a2a3f761b	2	canon	f01764351a35cd94	124.47	1414620
000e4e0db67e27083649c20a2a3f761b	2	raw	a321df9899bbb64d	68.8284	1399844
000e4e0db67e27083649c20a2a3f761b	4	canon	69c03ae68e60c09d	202.283	1418100
000e4e0db67e27083649c20a2a3f761b	4	raw	94844a435ed1faea	118.82	1401968
000e4e0db67e27083649c20a2a3f761b	6	canon	69c03ae68e60c09d	201.096	1416884
000e4e0db67e27083649c20a2a3f761b	6	raw	94844a435ed1faea	124.138	1399412
000e4e0db67e27083649c20a2a3f761b	8	canon	69c03ae68e60c09d	206.864	1417904
000e4e0db67e27083649c20a2a3f761b	8	raw	94844a435ed1faea	125.295	1401832
00107d84f57e2371476a7b2cabe0b351	0	canon	9fc769988f4b6f1d	6.13119	167568
00107d84f57e2371476a7b2cabe0b351	0	raw	9fc769988f4b6f1d	6.11521	171384
00107d84f57e2371476a7b2cabe0b351	10	canon	876b29ab1e11071c	244.724	700112
00107d84f57e2371476a7b2cabe0b351	10	raw	4077609d65a92c8c	87.3093	693304
00107d84f57e2371476a7b2cabe0b351	1	canon	368184a9826ac13e	32.6718	644500
00107d84f57e2371476a7b2cabe0b351	1	raw	d04499ff13af0916	14.0253	547528
00107d84f57e2371476a7b2cabe0b351	2	canon	0ed20631dc1373bc	56.2142	649224
00107d84f57e2371476a7b2cabe0b351	2	raw	4dc5842600db4f60	21.6492	642244
00107d84f57e2371476a7b2cabe0b351	4	canon	cd15c052209b7472	105.753	667100
00107d84f57e2371476a7b2cabe0b351	4	raw	ae6dde8aae6ad023	37.5233	656276
00107d84f57e2371476a7b2cabe0b351	6	canon	ea1472145f980c63	154.149	676816
00107d84f57e2371476a7b2cabe0b351	6	raw	6399616f068f06ac	63.7955	661124
00107d84f57e2371476a7b2cabe0b351	8	canon	4edbabd05d51ffe3	195.783	694232
00107d84f57e2371476a7b2cabe0b351	8	raw	abbffb248d9d6d7f	70.5963	687392
001304ba2e4e8adbd179aa3d8acb697b	0	canon	9ee0aacbe1f9f706	0.014763	0
001304ba2e4e8adbd179aa3d8acb697b	0	raw	9ee0aacbe1f9f706	0.013484	0
001304ba2e4e8adbd179aa3d8acb697b	10	canon	90cec930c31adae8	0.040116	0
001304ba2e4e8adbd179aa3d8acb697b	10	raw	6d9a2b4a9b19dc5e	0.031353	0
001304ba2e4e8adbd179aa3d8acb697b	1	canon	923a065f9de5544d	0.022118	0
001304ba2e4e8adbd179aa3d8acb697b	1	raw	318ac0be344a836d	0.018388	0
001304ba2e4e8adbd179aa3d8acb697b	2	canon	671f9c88db829367	0.020774	0
001304ba2e4e8adbd179aa3d8acb697b	2	raw	a65b993f28620bf3	0.025174	0
001304ba2e4e8adbd179aa3d8acb697b	4	canon	90cec930c31adae8	0.03759	0
001304ba2e4e8adbd179aa3d8acb697b	4	raw	b1d67550ff73a751	0.026483	0
001304ba2e4e8adbd179aa3d8acb697b	6	canon	90cec930c31adae8	0.040704	0
001304ba2e4e8adbd179aa3d8acb697b	6	raw	6d9a2b4a9b19dc5e	0.042425	0
001304ba2e4e8adbd179aa3d8acb697b	8	canon	90cec930c31adae8	0.040141	0
001304ba2e4e8adbd179aa3d8acb697b	8	raw	6d9a2b4a9b19dc5e	0.031751	0
001344c9b3cb1626af1c7c35155cf26a	0	canon	5d2b9af8b95a066e	14.7152	526024
001344c9b3cb1626af1c7c35155cf26a	0	raw	5d2b9af8b95a066e	16.1173	529772
001344c9b3cb1626af1c7c35155cf26a	10	canon	15a7225a213fc2aa	546.031	1350688
001344c9b3cb1626af1c7c35155cf26a	10	raw	71bfefd697d3095f	166.925	1330060
001344c9b3cb1626af1c7c35155cf26a	1	canon	93dc17000e5906ad	64.6497	1280800
001344c9b3cb1626af1c7c35155cf26a	1	raw	660f3b2815c834db	28.2424	1263092
001344c9b3cb1626af1c7c35155cf26a	2	canon	6a509f328a935ce3	114.409	1317312
001344c9b3cb1626af1c7c35155cf26a	2	raw	43845befe8996e71	44.7077	1297568
001344c9b3cb1626af1c7c35155cf26a	4	canon	b21b31900831c571	215.431	1340064
001344c9b3cb1626af1c7c35155cf26a	4	raw	6f10ea57aeff940f	74.0451	1326416
001344c9b3cb1626af1c7c35155cf26a	6	canon	4ef4ae9d237fac4c	322.54	1347948
001344c9b3cb1626af1c7c35155cf26a	6	raw	0b67369fcf2d2a13	104.527	1329964
001344c9b3cb1626af1c7c35155cf26a	8	canon	0d27baf12878aed8	438.806	1348772
001344c9b3cb1626af1c7c35155cf26a	8	raw	0de4eb82729306f3	136.224	1331568
0020aa0c69379226948904ad455b6c09	0	canon	c977dc27f3a927fd	0.043109	0
0020aa0c69379226948904ad455b6c09	0	raw	c977dc27f3a927fd	0.04345	0
0020aa0c69379226948904ad455b6c09	10	canon	a9a755d7e728e41f	0.162064	0
0020aa0c69379226948904ad455b6c09	10	raw	1dc57ba8b2339b4f	0.148679	0
0020aa0c69379226948904ad455b6c09	1	canon	89cc0af63ccde380	0.087216	0
0020aa0c69379226948904ad455b6c09	1	raw	f5411c287b2db36f	0.073057	0
0020aa0c69379226948904ad455b6c09	2	canon	a9a755d7e728e41f	0.124548	0
0020aa0c69379226948904ad455b6c09	2	raw	99b82c1cc0dfc4ca	0.109452	0
0020aa0c69379226948904ad455b6c09	4	canon	a9a755d7e728e41f	0.164159	0
0020aa0c69379226948904ad455b6c09	4	raw	1dc57ba8b2339b4f	0.142977	0
0020aa0c69379226948904ad455b6c09	6	canon	a9a755d7e728e41f	0.117124	0
0020aa0c69379226948904ad455b6c09	6	raw	1dc57ba8b2339b4f	0.102255	0
0020aa0c69379226948904ad455b6c09	8	canon	a9a755d7e728e41f	0.156953	0
0020aa0c69379226948904ad455b6c09	8	raw	1dc57ba8b2339b4f	0.138547	0
00213e27dabcf679205144f3dde5d37e	0	canon	d41808d0f70404d3	0.045511	0
00213e27dabcf679205144f3dde5d37e	0	raw	d41808d0f70404d3	0.041339	0
00213e27dabcf679205144f3dde5d37e	10	canon	71f2fea778616f6b	0.17371	0
00213e27dabcf679205144f3dde5d37e	10	raw	75d0e0dec90793fd	0.132187	0
00213e27dabcf679205144f3dde5d37e	1	canon	7d2540cde0304f6a	0.086662	0
00213e27dabcf679205144f3dde5d37e	1	raw	e6e32e25451ec907	0.07257	0
