hash	mode	neigh_hop	advanced_sort	sum_sort	wlhash	stabilized_at	cpu_time_s	max_mem_kib
00784e1e1a9ae772aae7f33c1fa5fbe2	none	0	0	0	1249d822eb0d0c8b	3	0.579516	0
00847fca81490df01b9e239fd6027378	none	0	0	0	f0d88e4dbb09334f	63	29.7986	30504
0085c7242003811caf4b7eff64022e55	none	0	0	0	b2395d4f352a8721	24	73.9708	173576
008d1f79eec2b7712637e48aec7a63cd	none	0	0	0	936f0bc65967897d	24	64.946	132412
008d78352c3d630340e6a3ef0d7242d7	none	0	0	0	fcfe20a84118561f	22	83.8901	212728
008e7716c69009090ff6bd0048dc55f8	none	0	0	0	c45c905b90f3a615	75	80.7022	65632
008fa3f37db9759dee825665e78e2e80	none	0	0	0	70f5c54b0536467f	24	31.0981	127676
0091ac9434f528a4007d82d2443d2dc9	none	0	0	0	392206f617911784	4	0.45855	14080
0092f19206d4641caaa3a638914bee3f	none	0	0	0	a57d2b8f218bf689	24	52.1094	122356
0094d44002500c187e3c2d07a13bee7c	none	0	0	0	356c59011990f7df	4	0.069834	0
009a4a6c23299b864508393ee726625a	none	0	0	0	1e915d55b801dce6	14	1.39661	10240
00a1604721e43896a93b5329e5b38af4	none	0	0	0	NA	NA	1.75	NA
00a30fb1c0150fe3d6692afd2b220887	none	0	0	0	4c0861b174ac6cd8	27	4.62007	12800
00a62eb89afbf27e1addf8f5c437da9b	none	0	0	0	9356b6ed708bf0b2	8	3.02704	0
00a981f385cd209d41e1efa1f5f29bac	none	0	0	0	NA	NA	3.73	NA
00ae4072f9b57d5d3cfe8919aff1b776	none	0	0	0	NA	NA	2.37	NA
00aec3b2e38968bf8a922709e2acfccd	none	0	0	0	5c817c779ba898c6	3	1.01689	0
00aefd1fc30c425075166ca051e57218	none	0	0	0	NA	NA	2.43	NA
00b1c27aee52d6dd9e112fa55d4cc1ca	none	0	0	0	NA	NA	1.74	NA
00b46ace235e3915a439c77a231a5657	none	0	0	0	b1aab2c350a388b8	10	2.59829	0
00b9b467c26540853360491401da61a5	none	0	0	0	4a50c8f02ea2077d	NA	29.217	17920
00bb0b4ef28ed38c49de4c54b9fabc4d	none	0	0	0	027fd33175ef0091	22	1.86026	0
00bbdbb1bc700e4c4ceb0d6e86e33c23	none	0	0	0	1e40bb3078cae1a4	4	0.05082	0
00be4c67683c8edeca138279e13942cb	none	0	0	0	NA	NA	0.51	NA
