id	mode	max_iters	wlhash	stabilized_at	cpu_time_s	max_mem_kib
000a41cdca43be89ed62ea3abf2d0b64	none	8	ebe40d2d0bf4dfae	NA	27.1158	226832
000a41cdca43be89ed62ea3abf2d0b64	none	9	3826348adc7d96e7	NA	30.4348	227652
000e4e0db67e27083649c20a2a3f761b	none	1	1eada1552f1f28b5	NA	43.0332	1076060
000e4e0db67e27083649c20a2a3f761b	none	10	94844a435ed1faea	4	128.886	1399712
000e4e0db67e27083649c20a2a3f761b	none	11	94844a435ed1faea	4	127.15	1401496
000e4e0db67e27083649c20a2a3f761b	none	12	94844a435ed1faea	4	127.409	1402308
000e4e0db67e27083649c20a2a3f761b	none	2	a321df9899bbb64d	NA	70.6179	1400940
000e4e0db67e27083649c20a2a3f761b	none	3	49b57b019dfa286f	NA	106.708	1400788
000e4e0db67e27083649c20a2a3f761b	none	4	94844a435ed1faea	4	137.803	1400060
000e4e0db67e27083649c20a2a3f761b	none	5	94844a435ed1faea	4	126.285	1400196
000e4e0db67e27083649c20a2a3f761b	none	6	94844a435ed1faea	4	126.678	1400428
000e4e0db67e27083649c20a2a3f761b	none	7	94844a435ed1faea	4	131.453	1401656
000e4e0db67e27083649c20a2a3f761b	none	8	94844a435ed1faea	4	131.635	1403704
000e4e0db67e27083649c20a2a3f761b	none	9	94844a435ed1faea	4	135.066	1403672
00107d84f57e2371476a7b2cabe0b351	none	1	d04499ff13af0916	NA	14.6433	561320
00107d84f57e2371476a7b2cabe0b351	none	10	4077609d65a92c8c	NA	97.4732	694860
00107d84f57e2371476a7b2cabe0b351	none	11	1d32e19298c28f8e	NA	102.994	696088
00107d84f57e2371476a7b2cabe0b351	none	12	5e791580ea7fd916	NA	114.424	699532
00107d84f57e2371476a7b2cabe0b351	none	2	4dc5842600db4f60	NA	21.8539	585932
00107d84f57e2371476a7b2cabe0b351	none	3	bc7ff42f900cc496	NA	30.4024	583740
00107d84f57e2371476a7b2cabe0b351	none	4	ae6dde8aae6ad023	NA	38.0706	659152
00107d84f57e2371476a7b2cabe0b351	none	5	67738f3de133159b	NA	52.4895	640396
00107d84f57e2371476a7b2cabe0b351	none	6	6399616f068f06ac	NA	55.8952	658932
00107d84f57e2371476a7b2cabe0b351	none	7	3fa65a0942871dc5	NA	69.6477	666460
00107d84f57e2371476a7b2cabe0b351	none	8	abbffb248d9d6d7f	NA	74.4681	686016
00107d84f57e2371476a7b2cabe0b351	none	9	519c21b9a1acb79b	NA	81.6151	657616
001304ba2e4e8adbd179aa3d8acb697b	none	1	318ac0be344a836d	NA	0.018331	0
001304ba2e4e8adbd179aa3d8acb697b	none	10	6d9a2b4a9b19dc5e	5	0.030498	0
001304ba2e4e8adbd179aa3d8acb697b	none	11	6d9a2b4a9b19dc5e	5	0.030779	0
001304ba2e4e8adbd179aa3d8acb697b	none	12	6d9a2b4a9b19dc5e	5	0.030529	0
001304ba2e4e8adbd179aa3d8acb697b	none	2	a65b993f28620bf3	NA	0.02164	0
001304ba2e4e8adbd179aa3d8acb697b	none	3	7a2a4e8c3f644d11	NA	0.030211	0
001304ba2e4e8adbd179aa3d8acb697b	none	4	b1d67550ff73a751	NA	0.027325	0
001304ba2e4e8adbd179aa3d8acb697b	none	5	6d9a2b4a9b19dc5e	5	0.033791	0
001304ba2e4e8adbd179aa3d8acb697b	none	6	6d9a2b4a9b19dc5e	5	0.044366	0
001304ba2e4e8adbd179aa3d8acb697b	none	7	6d9a2b4a9b19dc5e	5	0.046936	0
001304ba2e4e8adbd179aa3d8acb697b	none	8	6d9a2b4a9b19dc5e	5	0.03257	0
001304ba2e4e8adbd179aa3d8acb697b	none	9	6d9a2b4a9b19dc5e	5	0.031472	0
001344c9b3cb1626af1c7c35155cf26a	none	1	660f3b2815c834db	NA	28.63	1262656
001344c9b3cb1626af1c7c35155cf26a	none	10	71bfefd697d3095f	NA	172.319	1333060
001344c9b3cb1626af1c7c35155cf26a	none	11	e096f124c07868e9	NA	179.019	1334100
001344c9b3cb1626af1c7c35155cf26a	none	12	2b7d5cc8f5a4a888	NA	193.118	1334072
001344c9b3cb1626af1c7c35155cf26a	none	2	43845befe8996e71	NA	48.2154	1299440
001344c9b3cb1626af1c7c35155cf26a	none	3	f549b15a4d606cc7	NA	68.0377	1317328
001344c9b3cb1626af1c7c35155cf26a	none	4	6f10ea57aeff940f	NA	74.5197	1325652
001344c9b3cb1626af1c7c35155cf26a	none	5	6282efddd375a40f	NA	98.7548	1329028
001344c9b3cb1626af1c7c35155cf26a	none	6	0b67369fcf2d2a13	NA	124.753	1330064
001344c9b3cb1626af1c7c35155cf26a	none	7	0c2c1923b7c03281	NA	125.755	1331572
001344c9b3cb1626af1c7c35155cf26a	none	8	0de4eb82729306f3	NA	133.759	1333904
001344c9b3cb1626af1c7c35155cf26a	none	9	1880a8d6d23468ce	NA	153.559	1332316
0020aa0c69379226948904ad455b6c09	none	1	f5411c287b2db36f	NA	0.074006	0
0020aa0c69379226948904ad455b6c09	none	10	1dc57ba8b2339b4f	3	0.148069	0
0020aa0c69379226948904ad455b6c09	none	11	1dc57ba8b2339b4f	3	0.130781	0
0020aa0c69379226948904ad455b6c09	none	12	1dc57ba8b2339b4f	3	0.147863	0
0020aa0c69379226948904ad455b6c09	none	2	99b82c1cc0dfc4ca	NA	0.112776	0
0020aa0c69379226948904ad455b6c09	none	3	1dc57ba8b2339b4f	3	0.144987	0
0020aa0c69379226948904ad455b6c09	none	4	1dc57ba8b2339b4f	3	0.146459	0
0020aa0c69379226948904ad455b6c09	none	5	1dc57ba8b2339b4f	3	0.141769	0
0020aa0c69379226948904ad455b6c09	none	6	1dc57ba8b2339b4f	3	0.144422	0
0020aa0c69379226948904ad455b6c09	none	7	1dc57ba8b2339b4f	3	0.126788	0
0020aa0c69379226948904ad455b6c09	none	8	1dc57ba8b2339b4f	3	0.148265	0
0020aa0c69379226948904ad455b6c09	none	9	1dc57ba8b2339b4f	3	0.143549	0
00213e27dabcf679205144f3dde5d37e	none	1	e6e32e25451ec907	NA	0.070779	0
00213e27dabcf679205144f3dde5d37e	none	10	75d0e0dec90793fd	3	0.152173	0
00213e27dabcf679205144f3dde5d37e	none	11	75d0e0dec90793fd	3	0.156248	0
00213e27dabcf679205144f3dde5d37e	none	12	75d0e0dec90793fd	3	0.131536	0
00213e27dabcf679205144f3dde5d37e	none	2	34cd7f8dc18e6b1b	NA	0.104132	0
00213e27dabcf679205144f3dde5d37e	none	3	75d0e0dec90793fd	3	0.151373	0
00213e27dabcf679205144f3dde5d37e	none	4	75d0e0dec90793fd	3	0.152231	0
00213e27dabcf679205144f3dde5d37e	none	5	75d0e0dec90793fd	3	0.145905	0
00213e27dabcf679205144f3dde5d37e	none	6	75d0e0dec90793fd	3	0.149521	0
00213e27dabcf679205144f3dde5d37e	none	7	75d0e0dec90793fd	3	0.1452	0
00213e27dabcf679205144f3dde5d37e	none	8	75d0e0dec90793fd	3	0.15162	0
00213e27dabcf679205144f3dde5d37e	none	9	75d0e0dec90793fd	3	0.141285	0
0022f125b13bd7ccc91e793431c67a52	none	1	f66fba451c4644e0	NA	20.2798	605188
0022f125b13bd7ccc91e793431c67a52	none	10	542dfc4c0a2c4d64	NA	103.346	762904
0022f125b13bd7ccc91e793431c67a52	none	11	d719afddb5533f27	NA	121.295	763900
0022f125b13bd7ccc91e793431c67a52	none	12	bfdc299d4184d685	NA	136.305	762856
0022f125b13bd7ccc91e793431c67a52	none	2	5320c8b4dc74ffe4	NA	30.072	610536
0022f125b13bd7ccc91e793431c67a52	none	3	a8dc1c8290e1962f	NA	39.7583	628324
0022f125b13bd7ccc91e793431c67a52	none	4	02d2bbd70a7a58e1	NA	40.9512	667892
0022f125b13bd7ccc91e793431c67a52	none	5	0c3506251c59f691	NA	59.7507	691004
0022f125b13bd7ccc91e793431c67a52	none	6	5a672b91e12fa661	NA	65.4504	724572
0022f125b13bd7ccc91e793431c67a52	none	7	57c9a35245ce0f21	NA	78.7672	745604
0022f125b13bd7ccc91e793431c67a52	none	8	c7fba87689ca4ba7	NA	99.4006	751328
0022f125b13bd7ccc91e793431c67a52	none	9	da9585268cadc353	NA	96.5033	760504
0025a06f00f6e467f7cf4ef9e649b2a7	none	1	b6feb30aacad8f69	NA	2.41638	0
0025a06f00f6e467f7cf4ef9e649b2a7	none	10	3c97430802d29348	NA	13.198	91844
0025a06f00f6e467f7cf4ef9e649b2a7	none	11	e410a390e7c92f8f	NA	13.6138	91808
0025a06f00f6e467f7cf4ef9e649b2a7	none	12	3b5c57a42525a156	NA	13.2096	91488
0025a06f00f6e467f7cf4ef9e649b2a7	none	2	62e9c73efffc7f70	NA	3.94378	82816
0025a06f00f6e467f7cf4ef9e649b2a7	none	3	67a79204747fc403	NA	4.81533	85972
0025a06f00f6e467f7cf4ef9e649b2a7	none	4	ee57f3837fe0d9f0	NA	5.74676	88148
0025a06f00f6e467f7cf4ef9e649b2a7	none	5	4a9e5efb5d11efcd	NA	8.24936	91196
0025a06f00f6e467f7cf4ef9e649b2a7	none	6	81d5c938fade4f84	NA	6.80988	89876
0025a06f00f6e467f7cf4ef9e649b2a7	none	7	9d0221d65796a302	NA	10.9273	90684
0025a06f00f6e467f7cf4ef9e649b2a7	none	8	f2ec8c7ddaaf1943	NA	8.91825	89376
0025a06f00f6e467f7cf4ef9e649b2a7	none	9	58cdf97544e42cbd	NA	11.157	89352
00260e67c792062bc3e10e6b94522101	none	1	e85cf62a3635aeba	NA	5.74002	178516
00260e67c792062bc3e10e6b94522101	none	10	512f12f0b0427c98	NA	35.0772	233620
00260e67c792062bc3e10e6b94522101	none	11	c7d96a6438005eb2	NA	38.3047	216960
00260e67c792062bc3e10e6b94522101	none	12	b4781011f0064a6a	NA	43.8664	217420
00260e67c792062bc3e10e6b94522101	none	2	38c38302accf309b	NA	8.24932	169036
00260e67c792062bc3e10e6b94522101	none	3	07aad160f4629a37	NA	10.2834	191172
00260e67c792062bc3e10e6b94522101	none	4	d7cce4b73b2b8a0a	NA	18.1064	205408
00260e67c792062bc3e10e6b94522101	none	5	c3ca7d1908b121d7	NA	15.7961	205436
00260e67c792062bc3e10e6b94522101	none	6	e03063db664ac75c	NA	21.4893	213280
00260e67c792062bc3e10e6b94522101	none	7	d9c6e13914976dd9	NA	25.3627	209180
00260e67c792062bc3e10e6b94522101	none	8	351fecc40df86bc1	NA	31.1771	229548
00260e67c792062bc3e10e6b94522101	none	9	ebfc856cb2e317d2	NA	32.0607	216348
0026aaf8bbf2df73cb5db34a7b7a7a04	none	1	d27dc8fbd40ad2e5	NA	3.57774	0
