hash	mode	wlhash	stabilized_at	cpu_time_s	max_mem_kib	local	isohash	family	result	clauses	variables	bytes	cls1	cls2	cls3	cls4	cls5	cls6	cls7	cls8	cls9	cls10p	horn	invhorn	positive	negative
00d25e6106c5c09bb5d8d0f7eae7385a	neigh	616bf28adcee08ea	13	542.036	1304156	/nfs/share/instances/gbd/cnf/00d25e6106c5c09bb5d8d0f7eae7385a-54-106649.cnf.xz	c8567ebc5cdaea08c7e4796d3759ed84	station-repacking	unknown	550261	25520	8432964	3	549081	1	1	3	2	0	7	4	1159	549084	1180	1180	549081
00d3338cd6cdfa099ff29f036c77d93d	neigh	c647d9f5b983edbc	6	991.331	5238176	/nfs/share/instances/gbd/cnf/00d3338cd6cdfa099ff29f036c77d93d-sha256__zeroOut_17__freeIn_21__seed_1.cnf.xz	572ec11b1a0c5b64909b3cec9d800157	cryptography	sat	618749	37633	23246918	2813	656	55024	120048	64368	60000	225600	90240	0	0	150221	140485	1343	8230
00d41fe5805aef9e2e3b63e1d9497edf	neigh	NA	NA	6000.68	13339260	/nfs/share/instances/gbd/cnf/00d41fe5805aef9e2e3b63e1d9497edf-UNSAT_MS_opt_termes_p15.pddl_139.cnf.xz	19ec4ae0785061b74a5a0afb01fc545b	planning	unknown	1690192	116422	27751134	91	1668139	278	3058	3058	5004	278	5560	278	4448	1668230	953353	23	736907
00d46b1518fddf95bc8ba424e1b5b77d	neigh	4de5f249c0dbaacf	13	356.709	1047536	/nfs/share/instances/gbd/cnf/00d46b1518fddf95bc8ba424e1b5b77d-43-103175.cnf.xz	a1dc58b83217220c28341ad72b0e3adc	station-repacking	unknown	477994	23671	7297070	3	476898	1	1	4	2	0	8	2	1075	476901	1096	1096	476898
00d5f0932042a96518b03e6fd2feaf48	neigh	4591fcfba5e0ad67	13	576.279	1636636	/nfs/share/instances/gbd/cnf/00d5f0932042a96518b03e6fd2feaf48-56-115042.cnf.xz	42341b8aa4f6b19dd940332876db37ea	station-repacking	unknown	646819	27734	9931131	3	645528	1	1	4	2	0	9	3	1268	645531	1291	1291	645528
00d74259dcca2176f1cd561f52bc0326	neigh	7c735ec75659fc43	3	20.0265	135788	/nfs/share/instances/gbd/cnf/00d74259dcca2176f1cd561f52bc0326-unif-k6-r43.37-v210-c9108-S5835296729793976499.cnf.xz	018bf9b9f44b687473a6c8619ed01a0a	uniform-random	unknown	9108	210	235273	0	0	0	0	0	9108	0	0	0	0	989	975	142	131
00df199d465391a52fc37b87f81a957f	neigh	1d321fce58272169	3	0.051908	0	/nfs/share/instances/gbd/cnf/00df199d465391a52fc37b87f81a957f-x9-02052.sat.sanitized.cnf.xz	83edf5c9db2b40e6234cd41c23398b7e	hamiltonian	unknown	900	100	9337	0	820	0	20	40	20	0	0	0	0	820	80	80	820
00e010712b854966aa56caf9c9dc4696	neigh	477b13dc6aea9d8e	13	590.151	1697840	/nfs/share/instances/gbd/cnf/00e010712b854966aa56caf9c9dc4696-58-122927.cnf.xz	03bf2cec1365befee64db090b55e5c1c	station-repacking	unknown	664974	28356	10231025	3	663656	1	1	3	2	0	9	4	1295	663659	1318	1318	663656
00e1e5a05ed04bcb437bd7fc57a88b7f	neigh	269cd2a76d85bb2c	3	1.69097	19200	/nfs/share/instances/gbd/cnf/00e1e5a05ed04bcb437bd7fc57a88b7f-unif-k5-r21.3-v100-c2130-S1225022879-08.UNSAT.shuffled.cnf.xz	c7469e03c5c0b41ce9587e8a4f2cf998	uniform-random	unsat	2130	100	40408	0	0	0	0	2130	0	0	0	0	0	385	392	67	68
00e289099ea9bcef6a056a8c8ba8a3c0	neigh	445d6f2ba0c8df66	NA	395.681	205292	/nfs/share/instances/gbd/cnf/00e289099ea9bcef6a056a8c8ba8a3c0-ndist.b.21497.cnf.xz	5b42e642bcfcf38ae7330cd2b8f7bdbd	bitvector	sat	386932	279453	7223674	1	257954	128977	0	0	0	0	0	0	0	279450	193469	64488	171968
